   120671  31.3326  29.4631  29.7802   -65.59   -14.48   109.79   31   30   30
   120730  26.4424  30.4927  29.7363   -22.59    -2.85    92.59   26   31   30
   120731  27.4217  30.4914  29.7720   -30.70    -3.36   106.57   27   31   30
   120732  28.4238  30.5007  29.8047   -29.85     0.28   119.38   28   31   30
   120733  29.3869  30.5015  29.8046   -44.32     0.60   119.34   29   31   30
   120734  30.3488  30.5002  29.7783   -59.24     0.07   109.05   30   31   30
   120735  31.2933  30.4917  29.7773   -81.00    -3.25   108.67   31   31   30
   120794  26.4244  31.5269  29.6929   -29.61    10.53    75.61   26   32   30
   120795  27.4282  31.5175  29.7257   -28.15     6.86    88.44   27   32   30
   120796  28.4285  31.5204  29.7679   -28.02     8.01   104.96   28   32   30
   120797  29.3827  31.5138  29.7952   -45.96     5.42   115.66   29   32   30
   120798  30.3459  31.5037  29.7952   -60.38     1.44   115.67   30   32   30
   120799  31.3002  31.5171  29.8116   -78.30     6.70   122.11   31   32   30
   124573  29.4511  26.5395  30.7301   -19.17    15.47    90.17   29   27   31
   124574  30.4113  26.5228  30.7696   -34.76     8.92   105.66   30   27   31
   124575  31.3705  26.5139  30.8029   -50.74     5.46   118.70   31   27   31
   124635  27.5190  27.5480  30.7360     7.45    18.80    92.50   27   28   31
   124636  28.4710  27.5533  30.7578   -11.37    20.90   101.00   28   28   31
   124637  29.4393  27.5137  30.7844   -23.77     5.35   111.45   29   28   31
   124638  30.3895  27.4964  30.8280   -43.31    -1.41   128.53   30   28   31
   124639  31.3715  27.4819  30.8409   -50.34    -7.09   133.60   31   28   31
   124699  27.5111  28.5639  30.7718     4.35    25.03   106.52   27   29   31
   124700  28.4388  28.5254  30.7877   -23.97     9.94   112.75   28   29   31
   124701  29.3884  28.4803  30.7995   -43.75    -7.72   117.37   29   29   31
   124702  30.3816  28.4485  30.8264   -46.41   -20.17   127.92   30   29   31
   124703  31.3662  28.4410  30.8257   -52.44   -23.12   127.65   31   29   31
   124762  26.5318  29.5551  30.7442    12.45    21.61    95.70   26   30   31
   124763  27.4558  29.5101  30.7786   -17.34     3.94   109.18   27   30   31
   124764  28.4173  29.4883  30.7967   -32.40    -4.57   116.27   28   30   31
   124765  29.3668  29.4950  30.7997   -52.20    -1.96   117.43   29   30   31
   124766  30.3588  29.4831  30.8069   -55.34    -6.60   120.24   30   30   31
   124767  31.3432  29.4448  30.8097   -61.45   -21.61   121.37   31   30   31
   124826  26.4907  30.4720  30.7438    -3.66   -10.99    95.55   26   31   31
   124827  27.4439  30.4567  30.7713   -22.00   -16.98   106.32   27   31   31
   124828  28.4330  30.4792  30.7744   -26.26    -8.13   107.52   28   31   31
   124829  29.3782  30.4949  30.7797   -47.75    -1.98   109.62   29   31   31
   124830  30.3402  30.5049  30.7883   -62.61     1.91   112.96   30   31   31
   124831  31.3114  30.4955  30.8019   -73.90    -1.75   118.31   31   31   31
   124890  26.4698  31.4630  30.7025   -11.83   -14.49    79.36   26   32   31
   124891  27.4548  31.4657  30.7335   -17.69   -13.43    91.50   27   32   31
   124892  28.4488  31.4713  30.7456   -20.08   -11.25    96.23   28   32   31
   124893  29.3945  31.4841  30.7578   -41.35    -6.22   101.02   29   32   31
   124894  30.3602  31.5107  30.7781   -54.77     4.20   108.96   30   32   31
   124895  31.3125  31.5270  30.7839   -73.48    10.57   111.23   31   32   31
   128669  29.4856  26.5933  31.7044    -5.63    36.54    80.09   29   27   32
   128670  30.4566  26.5811  31.7444   -17.02    31.78    95.76   30   27   32
   128671  31.3873  26.5469  31.7728   -44.15    18.39   106.90   31   27   32
   128731  27.5222  27.6025  31.7083     8.71    40.16    81.62   27   28   32
   128732  28.5014  27.5912  31.7275     0.56    35.74    89.15   28   28   32
   128733  29.4703  27.5620  31.7543   -11.63    24.31    99.65   29   28   32
   128734  30.4248  27.5302  31.7732   -29.46    11.82   107.04   30   28   32
   128735  31.3571  27.4976  31.7861   -55.98    -0.93   112.11   31   28   32
   128795  27.5038  28.5731  31.7354     1.49    28.66    92.26   27   29   32
   128796  28.4646  28.5387  31.7458   -13.87    15.16    96.33   28   29   32
   128797  29.4311  28.4978  31.7988   -26.99    -0.85   117.08   29   29   32
   128798  30.3887  28.4558  31.8145   -43.61   -17.32   123.25   30   29   32
   128799  31.3374  28.4309  31.7960   -63.72   -27.10   116.01   31   29   32
   128858  26.5507  29.5353  31.7112    19.88    13.84    82.76   26   30   32
   128859  27.4837  29.5073  31.7339    -6.39     2.86    91.65   27   30   32
   128860  28.4386  29.4997  31.7652   -24.07    -0.12   103.94   28   30   32
   128861  29.3951  29.4807  31.8016   -41.10    -7.55   118.20   29   30   32
   128862  30.3621  29.4657  31.8216   -54.03   -13.45   126.03   30   30   32
   128863  31.3331  29.4564  31.8138   -65.38   -17.10   122.98   31   30   32
   128922  26.5152  30.4691  31.6996     5.96   -12.11    78.22   26   31   32
   128923  27.4779  30.4592  31.7423    -8.65   -16.00    94.96   27   31   32
   128924  28.4340  30.4596  31.7724   -25.87   -15.85   106.75   28   31   32
   128925  29.4016  30.4741  31.7903   -38.58   -10.14   113.75   29   31   32
   128926  30.3554  30.4848  31.8148   -56.65    -5.96   123.36   30   31   32
   128927  31.3234  30.4787  31.8266   -69.21    -8.34   128.00   31   31   32
   128986  26.5185  31.4298  31.7158     7.25   -27.50    84.58   26   32   32
   128987  27.4707  31.4284  31.7556   -11.48   -28.06   100.17   27   32   32
   128988  28.4545  31.4382  31.7562   -17.81   -24.23   100.40   28   32   32
   128989  29.4094  31.4561  31.7615   -35.49   -17.22   102.47   29   32   32
   128990  30.3695  31.4683  31.7670   -51.15   -12.42   104.63   30   32   32
